Time,Gaze
00:00:02.6646302,Maria (UnityEngine.CapsuleCollider)
00:00:02.6754154,Maria (UnityEngine.CapsuleCollider)
00:00:02.6865368,Maria (UnityEngine.CapsuleCollider)
00:00:02.6976865,Maria (UnityEngine.CapsuleCollider)
00:00:02.7085401,Maria (UnityEngine.CapsuleCollider)
00:00:02.7197212,Maria (UnityEngine.CapsuleCollider)
00:00:02.7310579,Maria (UnityEngine.CapsuleCollider)
00:00:02.7419676,Maria (UnityEngine.CapsuleCollider)
00:00:02.7529818,Maria (UnityEngine.CapsuleCollider)
00:00:02.7643161,Maria (UnityEngine.CapsuleCollider)
00:00:02.7753748,Maria (UnityEngine.CapsuleCollider)
00:00:02.7863898,Maria (UnityEngine.CapsuleCollider)
00:00:02.7985713,Maria (UnityEngine.CapsuleCollider)
00:00:02.8091037,Maria (UnityEngine.CapsuleCollider)
00:00:02.8197935,Maria (UnityEngine.CapsuleCollider)
00:00:02.8310956,Maria (UnityEngine.CapsuleCollider)
00:00:02.8420059,Maria (UnityEngine.CapsuleCollider)
00:00:02.8596567,Floor (UnityEngine.MeshCollider)
00:00:02.8646006,Floor (UnityEngine.MeshCollider)
00:00:02.8754509,Floor (UnityEngine.MeshCollider)
00:00:02.8864666,Floor (UnityEngine.MeshCollider)
00:00:02.8978833,Floor (UnityEngine.MeshCollider)
00:00:02.9087701,Floor (UnityEngine.MeshCollider)
00:00:02.9199463,Floor (UnityEngine.MeshCollider)
00:00:02.9315369,Floor (UnityEngine.MeshCollider)
00:00:02.9424485,Floor (UnityEngine.MeshCollider)
00:00:02.9533471,Floor (UnityEngine.MeshCollider)
00:00:02.9649282,Brian (UnityEngine.CapsuleCollider)
00:00:02.9757087,Brian (UnityEngine.CapsuleCollider)
00:00:02.9868124,Brian (UnityEngine.CapsuleCollider)
00:00:02.9984248,Brian (UnityEngine.CapsuleCollider)
00:00:03.0090315,Brian (UnityEngine.CapsuleCollider)
00:00:03.0202024,Brian (UnityEngine.CapsuleCollider)
00:00:03.0316605,Brian (UnityEngine.CapsuleCollider)
00:00:03.0425006,Brian (UnityEngine.CapsuleCollider)
00:00:03.0535431,Brian (UnityEngine.CapsuleCollider)
00:00:03.0651924,Brian (UnityEngine.CapsuleCollider)
00:00:03.0760881,Brian (UnityEngine.CapsuleCollider)
00:00:03.0874826,Brian (UnityEngine.CapsuleCollider)
00:00:03.0986056,Brian (UnityEngine.CapsuleCollider)
00:00:03.1095979,Brian (UnityEngine.CapsuleCollider)
00:00:03.1209688,Brian (UnityEngine.CapsuleCollider)
00:00:03.1320542,Brian (UnityEngine.CapsuleCollider)
00:00:03.1429322,Brian (UnityEngine.CapsuleCollider)
00:00:03.1545072,Brian (UnityEngine.CapsuleCollider)
00:00:03.1653357,Brian (UnityEngine.CapsuleCollider)
00:00:03.1763223,Brian (UnityEngine.CapsuleCollider)
00:00:03.1877828,Brian (UnityEngine.CapsuleCollider)
00:00:03.1986361,Brian (UnityEngine.CapsuleCollider)
00:00:03.2096376,Brian (UnityEngine.CapsuleCollider)
00:00:03.2211550,Brian (UnityEngine.CapsuleCollider)
00:00:03.2320047,Brian (UnityEngine.CapsuleCollider)
00:00:03.2431597,Brian (UnityEngine.CapsuleCollider)
00:00:03.2546387,Brian (UnityEngine.CapsuleCollider)
00:00:03.2655721,Brian (UnityEngine.CapsuleCollider)
00:00:03.2766366,Brian (UnityEngine.CapsuleCollider)
00:00:03.2880634,Brian (UnityEngine.CapsuleCollider)
00:00:03.2995739,Brian (UnityEngine.CapsuleCollider)
00:00:03.3102528,Brian (UnityEngine.CapsuleCollider)
00:00:03.3213738,Brian (UnityEngine.CapsuleCollider)
00:00:03.3322459,Brian (UnityEngine.CapsuleCollider)
00:00:03.3429076,Brian (UnityEngine.CapsuleCollider)
00:00:03.3538908,Brian (UnityEngine.CapsuleCollider)
00:00:03.3651429,Brian (UnityEngine.CapsuleCollider)
00:00:03.3758685,Brian (UnityEngine.CapsuleCollider)
00:00:03.3873286,Brian (UnityEngine.CapsuleCollider)
00:00:03.3985722,Brian (UnityEngine.CapsuleCollider)
00:00:03.4093626,Brian (UnityEngine.CapsuleCollider)
00:00:03.4212441,Brian (UnityEngine.CapsuleCollider)
00:00:03.4324025,Brian (UnityEngine.CapsuleCollider)
00:00:03.4426512,Brian (UnityEngine.CapsuleCollider)
00:00:03.4535979,Brian (UnityEngine.CapsuleCollider)
00:00:03.4650747,Brian (UnityEngine.CapsuleCollider)
00:00:03.4759802,Brian (UnityEngine.CapsuleCollider)
00:00:03.4870931,Brian (UnityEngine.CapsuleCollider)
00:00:03.4985944,Brian (UnityEngine.CapsuleCollider)
00:00:03.5090147,Brian (UnityEngine.CapsuleCollider)
00:00:03.5200973,Brian (UnityEngine.CapsuleCollider)
00:00:03.5314616,Brian (UnityEngine.CapsuleCollider)
00:00:03.5422942,Brian (UnityEngine.CapsuleCollider)
00:00:03.5534559,Brian (UnityEngine.CapsuleCollider)
00:00:03.5653183,Brian (UnityEngine.CapsuleCollider)
00:00:03.5762290,Brian (UnityEngine.CapsuleCollider)
00:00:03.5874623,Brian (UnityEngine.CapsuleCollider)
00:00:03.5985967,Brian (UnityEngine.CapsuleCollider)
00:00:03.6097655,Brian (UnityEngine.CapsuleCollider)
00:00:03.6213148,Brian (UnityEngine.CapsuleCollider)
00:00:03.6324452,Brian (UnityEngine.CapsuleCollider)
00:00:03.6435095,Brian (UnityEngine.CapsuleCollider)
00:00:03.6548892,Brian (UnityEngine.CapsuleCollider)
00:00:03.6659095,Brian (UnityEngine.CapsuleCollider)
00:00:03.6768092,Brian (UnityEngine.CapsuleCollider)
00:00:03.6884007,Brian (UnityEngine.CapsuleCollider)
00:00:03.6992525,Brian (UnityEngine.CapsuleCollider)
00:00:03.7103798,Brian (UnityEngine.CapsuleCollider)
00:00:03.7217322,Brian (UnityEngine.CapsuleCollider)
00:00:03.7325833,Brian (UnityEngine.CapsuleCollider)
00:00:03.7438442,Brian (UnityEngine.CapsuleCollider)
00:00:03.7551390,Brian (UnityEngine.CapsuleCollider)
00:00:03.7660818,Brian (UnityEngine.CapsuleCollider)
00:00:03.7771479,Brian (UnityEngine.CapsuleCollider)
00:00:03.7886689,Brian (UnityEngine.CapsuleCollider)
00:00:03.7994989,Brian (UnityEngine.CapsuleCollider)
00:00:03.8106206,Brian (UnityEngine.CapsuleCollider)
00:00:03.8219844,Brian (UnityEngine.CapsuleCollider)
00:00:03.8328960,Brian (UnityEngine.CapsuleCollider)
00:00:03.8439794,Brian (UnityEngine.CapsuleCollider)
00:00:03.8550687,Brian (UnityEngine.CapsuleCollider)
00:00:03.8664824,Brian (UnityEngine.CapsuleCollider)
00:00:03.8773334,Brian (UnityEngine.CapsuleCollider)
00:00:03.8886378,Brian (UnityEngine.CapsuleCollider)
00:00:03.8998481,Brian (UnityEngine.CapsuleCollider)
00:00:03.9108626,Brian (UnityEngine.CapsuleCollider)
00:00:03.9216620,Brian (UnityEngine.CapsuleCollider)
00:00:03.9330181,Brian (UnityEngine.CapsuleCollider)
00:00:03.9438988,Brian (UnityEngine.CapsuleCollider)
00:00:03.9551135,Brian (UnityEngine.CapsuleCollider)
00:00:03.9664265,Brian (UnityEngine.CapsuleCollider)
00:00:03.9772856,Brian (UnityEngine.CapsuleCollider)
00:00:03.9884999,Brian (UnityEngine.CapsuleCollider)
00:00:03.9998647,Brian (UnityEngine.CapsuleCollider)
00:00:04.0109991,Brian (UnityEngine.CapsuleCollider)
00:00:04.0222053,Brian (UnityEngine.CapsuleCollider)
00:00:04.0335274,Brian (UnityEngine.CapsuleCollider)
00:00:04.0443370,Brian (UnityEngine.CapsuleCollider)
00:00:04.0554275,Brian (UnityEngine.CapsuleCollider)
00:00:04.0664514,Brian (UnityEngine.CapsuleCollider)
00:00:04.0774882,Brian (UnityEngine.CapsuleCollider)
00:00:04.0889676,Brian (UnityEngine.CapsuleCollider)
00:00:04.1001877,Brian (UnityEngine.CapsuleCollider)
00:00:04.1110273,Brian (UnityEngine.CapsuleCollider)
00:00:04.1220184,Brian (UnityEngine.CapsuleCollider)
00:00:04.1330953,Brian (UnityEngine.CapsuleCollider)
00:00:04.1443369,Brian (UnityEngine.CapsuleCollider)
00:00:04.1556794,Brian (UnityEngine.CapsuleCollider)
00:00:04.1666187,Brian (UnityEngine.CapsuleCollider)
00:00:04.1775526,Brian (UnityEngine.CapsuleCollider)
00:00:04.1888886,Brian (UnityEngine.CapsuleCollider)
00:00:04.2001030,Brian (UnityEngine.CapsuleCollider)
00:00:04.2110215,Brian (UnityEngine.CapsuleCollider)
00:00:04.2221862,Brian (UnityEngine.CapsuleCollider)
00:00:04.2334667,Brian (UnityEngine.CapsuleCollider)
00:00:04.2443542,Brian (UnityEngine.CapsuleCollider)
00:00:04.2559840,Brian (UnityEngine.CapsuleCollider)
00:00:04.2666632,Brian (UnityEngine.CapsuleCollider)
00:00:04.2779019,Brian (UnityEngine.CapsuleCollider)
00:00:04.2893846,Brian (UnityEngine.CapsuleCollider)
00:00:04.3001753,Brian (UnityEngine.CapsuleCollider)
00:00:04.3112671,Brian (UnityEngine.CapsuleCollider)
00:00:04.3225381,Brian (UnityEngine.CapsuleCollider)
00:00:04.3334273,Brian (UnityEngine.CapsuleCollider)
00:00:04.3447542,Brian (UnityEngine.CapsuleCollider)
00:00:04.3560852,Brian (UnityEngine.CapsuleCollider)
00:00:04.3669395,Brian (UnityEngine.CapsuleCollider)
00:00:04.3781352,Brian (UnityEngine.CapsuleCollider)
00:00:04.3892634,Brian (UnityEngine.CapsuleCollider)
00:00:04.4029181,Brian (UnityEngine.CapsuleCollider)
00:00:04.4116622,Brian (UnityEngine.CapsuleCollider)
00:00:04.4227687,Brian (UnityEngine.CapsuleCollider)
00:00:04.4344474,Brian (UnityEngine.CapsuleCollider)
00:00:04.4451114,Brian (UnityEngine.CapsuleCollider)
00:00:04.4560467,Brian (UnityEngine.CapsuleCollider)
00:00:04.4672717,Brian (UnityEngine.CapsuleCollider)
00:00:04.4785702,Brian (UnityEngine.CapsuleCollider)
00:00:04.4894218,Brian (UnityEngine.CapsuleCollider)
00:00:04.5010781,Brian (UnityEngine.CapsuleCollider)
00:00:04.5118442,Brian (UnityEngine.CapsuleCollider)
00:00:04.5229044,Brian (UnityEngine.CapsuleCollider)
00:00:04.5340757,Brian (UnityEngine.CapsuleCollider)
00:00:04.5451236,Brian (UnityEngine.CapsuleCollider)
00:00:04.5563871,Brian (UnityEngine.CapsuleCollider)
00:00:04.5675157,Brian (UnityEngine.CapsuleCollider)
00:00:04.5784810,Brian (UnityEngine.CapsuleCollider)
00:00:04.5896562,Brian (UnityEngine.CapsuleCollider)
00:00:04.6006152,Brian (UnityEngine.CapsuleCollider)
00:00:04.6119146,Brian (UnityEngine.CapsuleCollider)
00:00:04.6227937,Brian (UnityEngine.CapsuleCollider)
00:00:04.6340728,Brian (UnityEngine.CapsuleCollider)
00:00:04.6449881,Brian (UnityEngine.CapsuleCollider)
00:00:04.6561420,Brian (UnityEngine.CapsuleCollider)
00:00:04.6674082,Brian (UnityEngine.CapsuleCollider)
00:00:04.6783918,Brian (UnityEngine.CapsuleCollider)
00:00:04.6896561,Brian (UnityEngine.CapsuleCollider)
00:00:04.7008848,Brian (UnityEngine.CapsuleCollider)
00:00:04.7120724,Brian (UnityEngine.CapsuleCollider)
00:00:04.7231549,Brian (UnityEngine.CapsuleCollider)
00:00:04.7345337,Brian (UnityEngine.CapsuleCollider)
00:00:04.7454744,Brian (UnityEngine.CapsuleCollider)
00:00:04.7568300,Brian (UnityEngine.CapsuleCollider)
00:00:04.7675201,Brian (UnityEngine.CapsuleCollider)
00:00:04.7787310,Brian (UnityEngine.CapsuleCollider)
00:00:04.7900917,Brian (UnityEngine.CapsuleCollider)
00:00:04.8010782,Brian (UnityEngine.CapsuleCollider)
00:00:04.8120304,Brian (UnityEngine.CapsuleCollider)
